rule,premise,classfication,conclusion
R2908,generation-7/evolution-1/type1-grass/type2-fairy/is_tall-oui/is_legendary-oui,land spirit,Tapu Bulu
R2909,generation-7/evolution-1/type1-water/type2-fairy/is_tall-oui/is_legendary-oui,land spirit,Tapu Fini
R2910,generation-7/evolution-1/type1-psychic/type2-aucun/is_tall-non/is_legendary-oui,nebula,Cosmog
R2911,generation-7/evolution-2/type1-psychic/type2-aucun/is_tall-non/is_legendary-oui,protostar,Cosmoem
R2912,generation-7/evolution-3/type1-psychic/type2-steel/is_tall-oui/is_legendary-oui,sunne,Solgaleo
R2913,generation-7/evolution-3/type1-psychic/type2-ghost/is_tall-oui/is_legendary-oui,moone,Lunala
R2914,generation-7/evolution-1/type1-rock/type2-poison/is_tall-oui/is_legendary-oui,parasite,Nihilego
R2915,generation-7/evolution-1/type1-bug/type2-fighting/is_tall-oui/is_legendary-oui,swollen,Buzzwole
R2916,generation-7/evolution-1/type1-bug/type2-fighting/is_tall-oui/is_legendary-oui,lissome,Pheromosa
R2917,generation-7/evolution-1/type1-electric/type2-aucun/is_tall-oui/is_legendary-oui,glowing,Xurkitree
R2918,generation-7/evolution-1/type1-steel/type2-flying/is_tall-oui/is_legendary-oui,launch,Celesteela
R2919,generation-7/evolution-1/type1-grass/type2-steel/is_tall-non/is_legendary-oui,drawn sword,Kartana
R2920,generation-7/evolution-1/type1-dark/type2-dragon/is_tall-oui/is_legendary-oui,junkivore,Guzzlord
R2921,generation-7/evolution-1/type1-psychic/type2-aucun/is_tall-oui/is_legendary-oui,prism,Necrozma
R2922,generation-7/evolution-1/type1-steel/type2-fairy/is_tall-oui/is_legendary-oui,artificial,Magearna
